Site ID,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Old site ID (legacy),Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
ML0071,Shaftesbury Avenue,Westminster,01 Central,01 A Road,71,CENCY072,529743.98,180896.69,51.512102,-0.13172536
ML0072,Tavistock Square (A4200),Camden,01 Central,01 A Road,72,CENCY073,529947.7,182335.81,51.524987,-0.12825719
ML0073,Grays Inn Road (north),Camden,01 Central,01 A Road,73,CENCY074,530737.94,182378.03,51.525191,-0.1168603
ML0074,Oxford Street (west),Westminster,01 Central,01 A Road,74,CENCY075,528461.71,181105.47,51.514273,-0.15011318
ML0075,Gloucester Place,Westminster,01 Central,01 A Road,75,CENCY076,527880.43,181587,51.518736,-0.15830672
ML0076,Baker Street,Westminster,01 Central,01 A Road,76,CENCY077,528045.52,181576.23,51.5186,-0.15593396
ML0077,Piccadilly,Westminster,01 Central,01 A Road,77,CENCY078,528958.05,180258.67,51.506548,-0.14326434
ML0078,York Road,Lambeth,01 Central,01 A Road,78,CENCY079,530860.54,179908.61,51.502966,-0.11600439
ML0079,Stamford Street,Lambeth,01 Central,01 A Road,79,CENCY080,531233.04,180260.56,51.506043,-0.11050262
ML0080,Great Dover Street,Southwark,01 Central,01 A Road,80,CENCY081,532640.92,179428.82,51.498238,-0.090554252
ML0081,Long Lane,Southwark,01 Central,01 A Road,81,CENCY082,533017.42,179511.99,51.498895,-0.085095111
ML0082,Borough High Street,Southwark,01 Central,01 A Road,82,CENCY083,532402.4,179706.81,51.500792,-0.093876653
ML0083,Southwark Street,Southwark,01 Central,01 A Road,83,CENCY084,532475.99,180142.26,51.504693,-0.092661975
ML0084,Newington Causeway,Southwark,01 Central,01 A Road,84,CENCY085,532069.6,179338.04,51.497563,-0.098808966
ML0085,Upper Thames Street (west of Southwark Bridge),City of London,01 Central,01 A Road,85,CENCY086,532298.77,180850.73,51.511097,-0.094945341
ML0086,Lower Thames Street,City of London,01 Central,01 A Road,86,CENCY087,533109.73,180659.21,51.50919,-0.083337679
ML0087,Clerkenwell Road (east),Islington,01 Central,01 A Road,87,CENCY088,531813.02,182118.42,51.522605,-0.1014564
ML0088,Old Street,Islington,01 Central,01 A Road,88,CENCY089,532385.23,182387.01,51.524888,-0.093115578
ML0089,Goswell Road (north),Islington,01 Central,01 A Road,89,CENCY090,531958.55,182330.7,51.524476,-0.099288296
ML0090,London Wall (west),City of London,01 Central,01 A Road,90,CENCY091,532500.16,181570.43,51.51752,-0.091765821
ML0091,London Wall (east),City of London,01 Central,01 A Road,91,CENCY092,532990.74,181479.02,51.516587,-0.084742345
ML0092,Grays Inn Road (south),Camden,01 Central,01 A Road,92,CENCY093,531069.26,181801.3,51.519929,-0.11229185
ML0093,Houndsditch,City of London,01 Central,01 A Road,93,CENCY094,533438.22,181325.15,51.515097,-0.07834792
ML0094,Bevis Marks,City of London,01 Central,01 A Road,94,CENCY095,533374.85,181312.01,51.514996,-0.079274615
ML0095,King's Cross Road,Camden,01 Central,01 A Road,95,CENCY096,530948.46,182543.32,51.526625,-0.11375929
ML0096,Crucifix Lane (Druid Street),Southwark,01 Central,01 A Road,96,CENCY097,533312.25,179870.22,51.502052,-0.080712247
ML0097,Marshalsea Road,Southwark,01 Central,01 A Road,97,CENCY200,532297.99,179839.89,51.502011,-0.095338656
ML0098,Tooley Street (east),Southwark,01 Central,01 A Road,98,CENCY201,533425.73,179999.56,51.503184,-0.079036444
ML0099,Southwark Bridge Road (south),Southwark,01 Central,01 A Road,99,CENCY202,531976.071,179380.862,51.497962,-0.10013223
ML0100,Upper Thames Street (east of Southwark Bridge),City of London,01 Central,01 A Road,100,CENCY203,532682.9,180753.71,51.510135,-0.089451578
ML0101,St. George's Road,Southwark,01 Central,01 A Road,101,CENCY204,531541.26,179240.8,51.496805,-0.10644735
ML0102,Lambeth Road,Southwark,01 Central,01 A Road,102,CENCY205,531612.85,179403.09,51.498253,-0.1053644
ML0103,Regent Street,Westminster,01 Central,01 A Road,103,CENCY701,529632.84,180463.33,51.508236,-0.13348306
ML0104,Haymarket,Westminster,01 Central,01 A Road,104,CENCY702,529736.03,180515.52,51.50868,-0.13196624
ML0105,Horseferry Road (east of Tufton Street),Westminster,01 Central,02 B Road,105,CENCY098,530073.74,178985.03,51.494853,-0.12767666
ML0106,The Cut,Lambeth,01 Central,02 B Road,106,CENCY099,531469.91,179939.89,51.503103,-0.10722371
ML0107,Bunhill Row,Islington,01 Central,02 B Road,107,CENCY100,532590.21,182274.5,51.523825,-0.090204837
ML0108,St. John Street,Islington,01 Central,02 B Road,108,CENCY101,531745.99,182194.74,51.523304,-0.10240758
ML0109,Hunter Street,Camden,01 Central,02 B Road,109,CENCY102,530294.15,182373.13,51.525248,-0.12324416
ML0110,Great Queen Street,Camden,01 Central,02 B Road,110,CENCY103,530455.81,181276.66,51.515353,-0.12133047
ML0111,Calthorpe Street,Camden,01 Central,02 B Road,111,CENCY104,530893.18,182376.64,51.525137,-0.11461366
ML0112,New Bond Street,Westminster,01 Central,02 B Road,112,CENCY105,528708.13,181111.47,51.514271,-0.14655342
ML0113,Great Smith Street (north of Little Smith Street),Westminster,01 Central,02 B Road,113,CENCY106,529935.4,179293.85,51.497652,-0.12955012
ML0114,Beech Street,City of London,01 Central,02 B Road,114,CENCY107,532303.63,181915.52,51.520666,-0.094473947
ML0115,Montague Place,Camden,01 Central,02 B Road,115,CENCY108,529899.4,181766.68,51.519884,-0.12915827
ML0116,Buckingham Gate,Westminster,01 Central,02 B Road,116,CENCY109,529480.89,179336.55,51.498143,-0.13608534
ML0117,Thayer Street,Westminster,01 Central,02 B Road,117,CENCY110,528359.51,181467.21,51.517549,-0.1514506
ML0118,Eastcheap,City of London,01 Central,03 Minor Road,118,CENCY111,533001.37,180826.89,51.510716,-0.084830051
ML0119,Grosvenor Street,Westminster,01 Central,03 Minor Road,119,CENCY112,528713.83,180839.74,51.511825,-0.14658062
ML0120,Seymour Place,Westminster,01 Central,03 Minor Road,120,CENCY113,527510.68,181728.92,51.520087,-0.16358547
ML0121,Regent Square,Camden,01 Central,03 Minor Road,121,CENCY114,530407.46,182530,51.526633,-0.12155817
ML0122,Wimpole Street,Westminster,01 Central,03 Minor Road,122,CENCY115,528576.72,181545.82,51.518201,-0.14829646
ML0123,George Street (east),Westminster,01 Central,03 Minor Road,123,CENCY116,527909.57,181396.87,51.517013,-0.15795824
ML0124,Montague Street,Camden,01 Central,03 Minor Road,124,CENCY117,530136.36,181785,51.520001,-0.12573735
ML0125,Drury Lane,Westminster,01 Central,03 Minor Road,125,CENCY118,530451.45,181155.25,51.514267,-0.12143282
ML0126,Torrington Place,Camden,01 Central,03 Minor Road,126,CENCY119,529542.56,181972.52,51.521818,-0.13422512
ML0127,Mabledon Place,Camden,01 Central,03 Minor Road,127,CENCY120,529979.15,182681.99,51.528089,-0.12766863
ML0128,Claremont Square,Islington,01 Central,03 Minor Road,128,CENCY121,531131.41,183021.96,51.530878,-0.11094506
ML0129,Leadenhall Street,City of London,01 Central,03 Minor Road,129,CENCY122,533128.52,181135.54,51.513463,-0.082884489
ML0130,Cannon Street,City of London,01 Central,03 Minor Road,130,CENCY123,532146.43,181057.61,51.512992,-0.097056881
ML0131,Central Street,Islington,01 Central,03 Minor Road,131,CENCY124,532114.73,182661.45,51.527414,-0.096916949
ML0132,Charterhouse Street,Islington,01 Central,03 Minor Road,132,CENCY125,531754.24,181768.84,51.519473,-0.10243707
ML0133,Prince's Street,City of London,01 Central,03 Minor Road,133,CENCY126,532663.4,181212.27,51.514264,-0.089552642
ML0134,Paul Street,Islington,01 Central,03 Minor Road,134,CENCY127,532989,182132.01,51.522455,-0.084510545
ML0135,Fleet Street,City of London,01 Central,03 Minor Road,135,CENCY128,531516.12,181174.88,51.514191,-0.10608676
ML0136,Golden Lane,Islington,01 Central,03 Minor Road,136,CENCY129,532271.43,182136.04,51.52266,-0.094852013
ML0137,Gresham Street,City of London,01 Central,03 Minor Road,137,CENCY130,532357.78,181348.43,51.515558,-0.093908838
ML0138,New Cavendish Street,Westminster,01 Central,03 Minor Road,138,CENCY131,528730.22,181699.22,51.51955,-0.14602199
ML0139,South Audley Street,Westminster,01 Central,03 Minor Road,139,CENCY132,528411.13,180402.43,51.507966,-0.15108914
ML0140,Old Broad Street,City of London,01 Central,03 Minor Road,140,CENCY133,532976.16,181302.24,51.514999,-0.085010706
ML0141,Wardour Street,Westminster,01 Central,03 Minor Road,141,CENCY134,529562.78,181078.11,51.513779,-0.13426535
ML0142,Berkeley Street,Westminster,01 Central,03 Minor Road,142,CENCY135,529017.27,180356.77,51.507415,-0.14237889
ML0143,Snow Hill (West Smithfield),City of London,01 Central,03 Minor Road,143,CENCY136,531580.52,181571.18,51.517743,-0.10501692
ML0144,Sidmouth Square,Camden,01 Central,03 Minor Road,144,CENCY209,530554.1031,182581.016,51.527058,-0.11942149
ML0145,Churchyard Row,Southwark,01 Central,04 Local Street,145,CENCY137,531835.72,178782.79,51.492621,-0.10238549
ML0146,Black Prince Road (east of Gibson Street),Lambeth,01 Central,04 Local Street,146,CENCY138,530834.12,178564.43,51.490894,-0.11687664
ML0147,The Mall,Westminster,01 Central,04 Local Street,147,CENCY139,529385.07,179898.72,51.503215,-0.13724722
ML0148,Belvedere Road,Lambeth,01 Central,04 Local Street,148,CENCY140,530758.028,179946.75,51.503331,-0.11745905
ML0149,Petty France,Westminster,01 Central,04 Local Street,149,CENCY141,529465.94,179478.71,51.499422,-0.13624925
ML0150,Birdcage Walk,Westminster,01 Central,04 Local Street,150,CENCY142,529649.63,179657.87,51.500989,-0.13353424
ML0151,Constitution Hill,Westminster,01 Central,04 Local Street,151,CENCY143,528783.394,179793.874,51.502409,-0.14595409
ML0152,Garrick Street,Westminster,01 Central,04 Local Street,152,CENCY144,530097.71,180856.17,51.511661,-0.1266417
ML0153,Welbeck Street,Westminster,01 Central,04 Local Street,153,CENCY145,528504.52,181467.91,51.517516,-0.14936199
ML0154,Crawford Street (west),Westminster,01 Central,04 Local Street,154,CENCY146,527510.892,181613.193,51.519053,-0.16362704
ML0155,Brook Street,Westminster,01 Central,04 Local Street,155,CENCY147,528701,180968,51.512989,-0.14670342
ML0156,Lambs Conduit Street,Camden,01 Central,04 Local Street,156,CENCY148,530629.49,182016.56,51.521963,-0.11855027
ML0157,Upper Ground,Lambeth,01 Central,04 Local Street,157,CENCY149,531041.96,180301.3,51.506456,-0.11325224
ML0158,Sumner Steet,Southwark,01 Central,04 Local Street,158,CENCY150,532047.89,180352.94,51.50668,-0.098746488
ML0159,Hercules Road,Lambeth,01 Central,04 Local Street,159,CENCY151,531087.06,179377.67,51.498141,-0.11293288
ML0160,Webber Street (east),Southwark,01 Central,04 Local Street,160,CENCY152,531865.85,179686.71,51.500737,-0.1016161
ML0161,Weston Street,Southwark,01 Central,04 Local Street,161,CENCY153,532978.94,179384.66,51.497763,-0.085704445
ML0162,Cornwall Road (north),Lambeth,01 Central,04 Local Street,162,CENCY154,531198.02,180170.98,51.505242,-0.11104007
ML0163,Jewry Street,City of London,01 Central,04 Local Street,163,CENCY155,533561.31,181089.45,51.512947,-0.076665711
ML0164,Carey Street,Camden,01 Central,04 Local Street,164,CENCY156,531036.43,181252.85,51.515003,-0.11297113
ML0165,Appold Street,Hackney,01 Central,04 Local Street,165,CENCY157,533124.17,181878.82,51.520141,-0.082661722
ML0166,Wood Street,City of London,01 Central,04 Local Street,166,CENCY158,532371.23,181588.46,51.517712,-0.093617143
ML0167,Lime Street,City of London,01 Central,04 Local Street,167,CENCY159,533115.72,180993.48,51.51219,-0.083125289
ML0168,Old Compton Street,Westminster,01 Central,04 Local Street,168,CENCY160,529759.68,181010.65,51.513123,-0.131453
ML0169,Lloyd Baker Street,Islington,01 Central,04 Local Street,169,CENCY161,531016.57,182630.66,51.527391,-0.1127473
ML0170,Fitzroy Street,Camden,01 Central,04 Local Street,170,CENCY162,529259.72,181973.19,51.521891,-0.13830148
ML0171,Emery Hill Street,Westminster,01 Central,04 Local Street,171,CENCY163,529387.58,179029.75,51.495405,-0.13753682
ML0172,Lambeth High Street,Lambeth,01 Central,04 Local Street,172,CENCY164,530633.08,178924.6,51.494175,-0.11963702
ML0173,Brushfield Street,Tower Hamlets,01 Central,04 Local Street,173,CENCY165,533617.1,181772.66,51.519072,-0.075600515
ML0174,Trinity Street (east),Southwark,01 Central,04 Local Street,174,CENCY166,532589.54,179423.5,51.498205,-0.091290407
ML0175,Gordon Square,Camden,01 Central,04 Local Street,175,CENCY167,529730.01,182232.05,51.524111,-0.13142126
ML0176,Turnmill Street,Islington,01 Central,04 Local Street,176,CENCY168,531497.95,182031.19,51.521896,-0.10604095
ML0177,Carlisle Street,Lambeth,01 Central,04 Local Street,177,CENCY169,530935.58,179369.29,51.498105,-0.11512431
ML0178,Roupell Street,Lambeth,01 Central,04 Local Street,178,CENCY170,531378.07,180109.15,51.504652,-0.10847078
ML0179,Lambeth Walk,Lambeth,01 Central,04 Local Street,179,CENCY171,531096.88,179113.95,51.495767,-0.11290129
ML0180,Temple Place,Westminster,01 Central,04 Local Street,180,CENCY172,530894.06,180798.82,51.510956,-0.11518478
ML0181,Horse Guards Avenue,Westminster,01 Central,04 Local Street,181,CENCY173,530281.97,180100.49,51.504825,-0.12427076
ML0182,Deanery Street,Westminster,01 Central,04 Local Street,182,CENCY174,528354.52,180290.53,51.506973,-0.15195073
ML0183,Stanhope Gate,Westminster,01 Central,04 Local Street,183,CENCY175,528412.17,180260.51,51.50669,-0.1511264
ML0184,Park Street,Westminster,01 Central,04 Local Street,184,CENCY176,528183.19,180631.86,51.510076,-0.15428944
ML0185,Marlborough Road,Westminster,01 Central,04 Local Street,185,CENCY177,529371.48,180110.54,51.505124,-0.13737113
ML0186,Carlisle Place,Westminster,01 Central,04 Local Street,186,CENCY178,529089.89,179114.15,51.496237,-0.14179609
ML0187,Threadneedle Street,City of London,01 Central,04 Local Street,187,CENCY179,532981.73,181220.24,51.514261,-0.084969598
ML0188,Myddelton Street,Islington,01 Central,04 Local Street,188,CENCY180,531508.24,182661.37,51.527555,-0.10564753
ML0189,Greville Street,Camden,01 Central,04 Local Street,189,CENCY181,531460.75,181769.87,51.519551,-0.10667159
ML0190,Saffron Hill,Camden,01 Central,04 Local Street,190,CENCY182,531384.41,181984.02,51.5215,-0.10768624
ML0191,Arundel Street,Westminster,01 Central,04 Local Street,191,CENCY183,530958.5,180938.75,51.512199,-0.11421111
ML0192,Great Ormond Street,Camden,01 Central,04 Local Street,192,CENCY184,530477.3,181984.09,51.52171,-0.12075172
ML0193,Great Cumberland Place,Westminster,01 Central,04 Local Street,193,CENCY185,527786.24,181182.5,51.515118,-0.15980746
ML0194,Montagu Place,Westminster,01 Central,04 Local Street,194,CENCY186,527841.4,181618.94,51.519024,-0.15885727
ML0195,Princeton Street,Camden,01 Central,04 Local Street,195,CENCY187,530695.72,181751.53,51.519566,-0.11769772
ML0196,Eagle Street,Camden,01 Central,04 Local Street,196,CENCY188,530689.09,181653.04,51.518687,-0.11782046
ML0197,Berners Street,Westminster,01 Central,04 Local Street,197,CENCY189,529367.46,181486.51,51.51749,-0.13692431
ML0198,Hastings Street,Camden,01 Central,04 Local Street,198,CENCY190,530051.04,182644.04,51.52774,-0.12664496
ML0199,Devonshire Street,Westminster,01 Central,04 Local Street,199,CENCY191,528490.3,181905.47,51.521456,-0.1494041
ML0200,Duke Street,Westminster,01 Central,04 Local Street,200,CENCY192,528392.45,181033.55,51.513641,-0.1511332
ML0201,Temple Avenue,City of London,01 Central,04 Local Street,201,CENCY193,531389.8,180859.27,51.511389,-0.1080332
ML0202,Trinity Square,City of London,01 Central,04 Local Street,202,CENCY194,533455.08,180728.09,51.509728,-0.078328859
ML0203,Sullivan Row,Lambeth,01 Central,04 Local Street,203,CENCY195,531514.85,178914.24,51.493881,-0.10695745
ML0204,Poland Street,Westminster,01 Central,04 Local Street,204,CENCY196,529334.25,181236.54,51.515251,-0.13749129
ML0205,Juxton Street,Lambeth,01 Central,04 Local Street,205,CENCY197,530900.04,178922.47,51.494096,-0.11579389
ML0206,Warner Street,Islington,01 Central,04 Local Street,206,CENCY206,531236.77,182156.33,51.52308,-0.10975419
ML0207,Pakenham Street,Camden,01 Central,04 Local Street,207,CENCY207,530881.71,182497.52,51.526227,-0.11474162
ML0208,Riverside Walk (Albert Embankment),Lambeth,01 Central,05 Motor vehicle-free,208,CENCY198,530549.98,179239.16,51.497026,-0.12072991
ML0209,Princess Street,Southwark,01 Central,05 Motor vehicle-free,209,CENCY208,531845.63,179169.79,51.496096,-0.10209709
ML0210,Grove Road,Tower Hamlets,02 Inner,01 A Road,210,INNCY001,536005.2346,183224.9317,51.53155,-0.040644187
ML0211,Lea Bridge Road,Waltham Forest,02 Inner,01 A Road,211,INNCY002,535642.254,186677.1935,51.562667,-0.044544182
ML0212,Burdett Road (south of Limehouse Cut),Tower Hamlets,02 Inner,01 A Road,212,INNCY003,536945,181263,51.513702,-0.027862563
ML0213,Seven Sisters Road (Finsbury Park),Islington,02 Inner,01 A Road,213,INNCY004,531355.3829,186695.0883,51.563842,-0.10634727
ML0214,Seven Sisters Road,Haringey,02 Inner,01 A Road,214,INNCY005,532769.8561,188001.3644,51.575248,-0.085466792
ML0215,Hornsey Rise,Islington,02 Inner,01 A Road,215,INNCY006,530080.34,187472.06,51.57112,-0.12444359
ML0216,York Way,Islington,02 Inner,01 A Road,216,INNCY007,530305.0611,183746.5623,51.537584,-0.12257813
ML0217,Well Street,Hackney,02 Inner,01 A Road,217,INNCY008,535194.877,184187.5961,51.540399,-0.051959417
ML0218,Hackney Road,Tower Hamlets,02 Inner,01 A Road,218,INNCY009,534597.9428,183233.2893,51.531968,-0.060926954
ML0219,Tower Bridge,Tower Hamlets,02 Inner,01 A Road,219,INNCY010,533697.7553,180336.7584,51.506149,-0.074992281
ML0220,Westferry Road,Tower Hamlets,02 Inner,01 A Road,220,INNCY011,537205.0312,179057.2546,51.493815,-0.024975406
ML0221,Dulwich Road,Lambeth,02 Inner,01 A Road,221,INNCY012,531402.792,174615.1462,51.455274,-0.11016722
ML0222,Old Kent Road (New Cross Gate),Lewisham,02 Inner,01 A Road,222,INNCY013,535246.8456,177292.7197,51.478426,-0.053852324
ML0223,New Cross Road,Lewisham,02 Inner,01 A Road,223,INNCY014,537067.2892,176982.7385,51.475203,-0.027766731
ML0224,Streatham High Road,Lambeth,02 Inner,01 A Road,224,INNCY015,530230.2042,172489.7046,51.436439,-0.12780729
ML0225,Brixton Hill,Lambeth,02 Inner,01 A Road,225,INNCY016,530770.0166,174613.6666,51.455402,-0.11925884
ML0226,Brixton Road,Lambeth,02 Inner,01 A Road,226,INNCY017,531192.7491,176321.7777,51.470654,-0.11255545
ML0227,Stockwell Road,Lambeth,02 Inner,01 A Road,227,INNCY018,530831.1372,175940.6568,51.467314,-0.11789084
ML0228,South Lambeth Road,Lambeth,02 Inner,01 A Road,228,INNCY019,530435.1352,176985.5077,51.476796,-0.12320316
ML0229,Peckham Rye,Southwark,02 Inner,01 A Road,229,INNCY020,534437.3538,175952.5234,51.466577,-0.066004094
