datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2017/1/30,50.3,42.9,46.1,50.3,37.9,43.3,43.3,90.1,0.354,100,4.17,rain,0,0,19.2,9.7,81.8,1010.9,94.7,5.7,20.4,1.8,1,,2017-01-30T07:41:37,2017-01-30T16:46:40,0.09,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/31,47.6,42,44.3,44.1,35.7,39.7,42.7,94.3,0.024,100,8.33,rain,0,0,20.6,11.1,121.4,1012.9,96,3,10.8,0.9,0,,2017-01-31T07:40:07,2017-01-31T16:48:28,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/1,51.9,47.6,50.8,51.9,43.8,50.2,48.9,93.5,0.315,100,8.33,rain,0,0,26.8,14.7,181.2,1006.6,95.4,6.5,13.5,1.1,1,,2017-02-01T07:38:35,2017-02-01T16:50:17,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/2,53,50.1,51.5,53,50.1,51.5,47,84.9,0.008,100,4.17,rain,0,0,34.4,17.2,179.5,997.3,85.8,9.4,30,2.7,2,,2017-02-02T07:37:02,2017-02-02T16:52:06,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/3,51.2,42,48,51.2,34.8,44.4,41.9,79.6,0.032,100,8.33,rain,0,0,41.9,23.1,180.5,994.9,80.6,11.3,57.7,4.9,2,,2017-02-03T07:35:26,2017-02-03T16:53:55,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/4,48.3,39.4,42.6,46,35.5,40.3,38.6,86.3,0.064,100,8.33,rain,0,0,26.4,8.3,186.1,997.3,52.5,15.9,48.3,4.1,2,,2017-02-04T07:33:49,2017-02-04T16:55:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/5,43.8,39.5,41.6,39.3,35,37.4,38.4,88.5,0.008,100,4.17,rain,0,0,21.3,10.3,32.3,1003.5,81,11.1,42.4,3.7,2,,2017-02-05T07:32:09,2017-02-05T16:57:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/6,46.5,34,41.1,43.1,34,38.1,36.6,84.8,0,0,0,,0,0,23.9,10.7,165.8,1017.2,58.4,6.5,55.6,4.8,3,,2017-02-06T07:30:28,2017-02-06T16:59:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/7,51.9,41.1,45.6,51.9,35.4,43.5,39.9,82,0.244,100,8.33,rain,0,0,22.8,9.5,270.3,1014.2,73.3,9.4,69.4,6,3,,2017-02-07T07:28:45,2017-02-07T17:01:15,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/8,43.9,37.7,40.8,43.8,32.4,37,35.5,81.7,0,0,0,,0,0,17.7,8.4,20.5,1026,91.3,6.1,47.3,4.1,2,,2017-02-08T07:27:01,2017-02-08T17:03:05,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/9,37.5,35.7,36.5,32.8,28.2,30.3,31.7,82.8,0,0,0,,0,0,21,10.7,55,1027.6,97.6,5.9,40.4,3.5,2,,2017-02-09T07:25:14,2017-02-09T17:04:55,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/10,36.6,35,35.9,30.8,27.9,29.5,32.7,88.4,0.016,100,8.33,rain,0,0,22.1,9.9,29.1,1023.8,90.8,2.8,23.6,2.1,1,,2017-02-10T07:23:27,2017-02-10T17:06:45,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/11,37.7,34.1,35.9,31.5,27.1,29.4,32.6,87.7,0.039,100,8.33,"rain,snow",0.2,0.2,23.9,9.6,17.2,1022.3,91.8,3.4,58.1,5,2,,2017-02-11T07:21:37,2017-02-11T17:08:35,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/12,43.1,35.7,38.5,36.4,28.8,31.7,35,87.3,0.024,100,8.33,rain,0,0,27.1,13.7,63.8,1022.3,97.4,2.7,42.3,3.6,2,,2017-02-12T07:19:47,2017-02-12T17:10:25,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/13,48.5,40.4,43,42.5,33.3,36.4,37.5,81.3,0,0,0,,0,0,31.8,16.6,83.2,1021.8,36,3.7,100.2,8.7,4,,2017-02-13T07:17:55,2017-02-13T17:12:15,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/14,53,39.3,45.4,53,33.7,42,38.2,75.9,0,0,0,,0,0,22.1,10.1,113.3,1023.2,54.6,6.6,43.1,3.9,2,,2017-02-14T07:16:01,2017-02-14T17:14:05,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/15,53,44.9,49.1,53,40.4,47.1,45.8,88.6,0.04,100,4.17,rain,0,0,24.2,14,187.4,1027.7,82.2,6,41.8,3.7,2,,2017-02-15T07:14:06,2017-02-15T17:15:54,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/16,53,43.8,48,53,40.1,45.6,42.6,82.4,0.008,100,4.17,rain,0,0,22.6,11.6,241.1,1029.5,73.9,13,94.5,8.2,4,,2017-02-16T07:12:10,2017-02-16T17:17:44,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/17,55.7,44,49.2,55.7,40.2,47.2,42.7,79.3,0.008,100,4.17,rain,0,0,15,9.7,247.1,1027.8,64,11.9,46.6,4,2,,2017-02-17T07:10:13,2017-02-17T17:19:33,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/18,54.8,43.1,46.8,54.8,38.9,44,41.6,82.8,0,0,0,,0,0,18.3,8.6,210,1025.2,68.1,5.6,78,6.7,3,,2017-02-18T07:08:14,2017-02-18T17:21:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/19,53.7,41.1,47.4,53.7,36.2,45.3,43,85.1,0,0,0,,0,0,20.8,11.2,247.5,1022.4,80.5,10.8,36.9,3.2,2,,2017-02-19T07:06:14,2017-02-19T17:23:11,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/20,63.8,50.3,54.9,63.8,50.3,54.9,49.9,84.1,0.008,100,4.17,rain,0,0,32.2,17,259.8,1018.7,80.4,12.5,37.9,3.1,2,,2017-02-20T07:04:13,2017-02-20T17:25:00,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/21,56.4,51,53.4,56.4,51,53.4,49,85.2,0,0,0,,0,0,32.2,16.4,256.1,1016,90.3,15.9,29.4,2.6,1,,2017-02-21T07:02:11,2017-02-21T17:26:48,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/22,57.3,51.9,54.1,57.3,51.9,54.1,48.8,82.6,0,0,0,,0,0,38,20.9,250.7,1008.4,95.1,16.1,29,2.4,1,,2017-02-22T07:00:08,2017-02-22T17:28:36,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/23,52.8,42.9,49.9,52.8,36,47.7,40.1,70.1,0.032,100,8.33,rain,0,0,58.2,35.1,262.8,998.3,81.7,19.2,99.2,8.6,4,,2017-02-23T06:58:04,2017-02-23T17:30:24,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/24,50.2,37.7,43.5,50.2,31.5,38.8,32.1,64.9,0,0,0,,0,0,28,12.9,285.9,1015.9,49.7,21.1,86,7.5,4,,2017-02-24T06:55:59,2017-02-24T17:32:11,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/25,51,43.4,47.8,51,38.8,43.6,42.1,80.7,0.024,100,4.17,rain,0,0,33.6,17.4,220.6,1013.7,85.7,12.2,32.3,2.8,1,,2017-02-25T06:53:53,2017-02-25T17:33:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/26,53.3,49.4,51.1,53.3,43.9,50.7,46.3,84,0.047,100,8.33,rain,0,0,35,21.2,226.8,1005.9,91.5,13.3,51.5,4.4,2,,2017-02-26T06:51:47,2017-02-26T17:35:46,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/27,49.4,39.3,45.4,44.7,33.1,39.8,41.5,86.3,0.465,100,16.67,rain,0,0,40.8,18.2,216.6,990.3,74.1,15,62.6,5.3,3,,2017-02-27T06:49:39,2017-02-27T17:37:32,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/2/28,46.7,35.7,41.2,39.8,29.5,34.8,35.2,79.9,0.07,100,8.33,rain,0,0,35.3,19.6,251,988.6,59.5,20,90.1,7.7,5,,2017-02-28T06:47:31,2017-02-28T17:39:19,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3,769,099,999,036,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/1,48.5,42.9,45.4,44.4,35.9,40.2,39.2,79.4,0.016,100,8.33,rain,0,0,37.6,23.4,245.5,998.3,78.4,15.4,54.8,4.7,2,,2017-03-01T06:45:22,2017-03-01T17:41:05,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"376,909,999,903,680,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/2,53,42.2,46.5,53,33.4,41.1,33.1,61,0.016,100,4.17,rain,0,0,39.7,24.4,256.2,1008.2,51.4,16.5,108.6,9.3,4,,2017-03-02T06:43:12,2017-03-02T17:42:51,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/3,52.8,43.8,47.6,52.8,39.4,45.1,42.6,82.9,0.079,100,4.17,rain,0,0,26.8,10.8,150.6,998.9,74.6,10.6,47.1,4.1,2,,2017-03-03T06:41:02,2017-03-03T17:44:36,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/4,52.8,45.6,48.5,52.8,39.4,45.7,41.4,77.7,0.048,100,8.33,rain,0,0,28.4,16.7,217.1,989.4,68.5,16.5,94.5,8.2,3,,2017-03-04T06:38:50,2017-03-04T17:46:22,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/5,51,42.2,45.5,51,34.5,40.2,39.4,79.8,0.197,100,8.33,rain,0,0,42.1,19.6,234.2,991.4,69.7,15.6,92.1,8,4,,2017-03-05T06:36:39,2017-03-05T17:48:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/6,51.9,38.6,45.4,51.9,35.4,42.2,36.4,72.3,0.04,100,4.17,rain,0,0,30,16.2,290.7,1004.3,53.1,20,115.3,10.1,4,,2017-03-06T06:34:26,2017-03-06T17:49:52,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/7,51.9,41.1,45.9,51.9,37,42.3,37.4,73.1,0.008,100,4.17,rain,0,0,21.5,11.5,259.8,1016.4,70.7,21.4,80.9,7,3,,2017-03-07T06:32:13,2017-03-07T17:51:36,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/8,57.5,46.7,51.9,57.5,40.7,50.2,47.6,86,0.117,100,8.33,rain,0,0,27.7,14.8,237.8,1012.6,85.8,12.6,45,3.9,2,,2017-03-08T06:30:00,2017-03-08T17:53:20,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/9,62.7,49.4,55.5,62.7,46.5,55.3,43.2,66.1,0,0,0,,0,0,25.1,14.1,279.6,1020.4,63.7,20.5,121.1,10.3,5,,2017-03-09T06:27:46,2017-03-09T17:55:04,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3,769,099,999,036,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/3/10,53.9,44.9,49.9,53.9,41.7,48.3,44.5,81.9,0,0,0,,0,0,18.1,9.4,161.5,1025.1,85.6,10.3,29.5,2.4,1,,2017-03-10T06:25:32,2017-03-10T17:56:48,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36,800,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
